roberta_pca_1,roberta_pca_2,roberta_pca_3,roberta_pca_4,roberta_pca_5,roberta_pca_6,roberta_pca_7,roberta_pca_8,roberta_pca_9,roberta_pca_10,roberta_pca_11,roberta_pca_12,roberta_pca_13,roberta_pca_14,roberta_pca_15,roberta_pca_16,roberta_pca_17,roberta_pca_18,roberta_pca_19,roberta_pca_20,roberta_pca_21,roberta_pca_22,roberta_pca_23,roberta_pca_24,roberta_pca_25,roberta_pca_26,roberta_pca_27,roberta_pca_28,roberta_pca_29,roberta_pca_30,roberta_pca_31,roberta_pca_32
0.53062534,0.01782608,-0.2454378,0.011889935,-0.15233088,0.110049844,0.05804944,0.115312934,-0.06169355,0.060771227,-0.16136026,0.02956003,-0.050338954,0.0651288,0.07019234,-0.026343584,0.083441764,0.049345136,-0.09139305,-0.049562708,0.04805225,-0.028710842,-0.014526129,-0.17161262,-0.015426174,-0.061559916,-0.036592364,-0.027427197,0.017092109,0.11181605,-0.02776146,-0.0243119
0.5345564,0.14728403,0.20221308,-0.09945512,-0.08568311,0.005496204,-0.1989727,-0.021238357,-0.07573748,-0.273633,0.06522429,0.022900641,0.19282714,0.091972426,-0.029376745,0.2085084,0.05040568,0.0021232367,-0.01132226,0.076801226,-0.010473549,0.05379784,-0.056470633,0.018000484,-0.11555768,0.03425896,-0.070147276,0.14185673,-0.028542876,0.021763802,0.03358078,-0.0177584
-0.21417618,0.13827276,-0.15639351,-0.14917254,-0.047497034,-0.13400227,0.10259938,-0.13944173,0.0604527,-0.0036957264,-0.11348474,0.0048579574,-0.09364094,0.087154955,0.06978297,0.015487701,-0.03158772,0.035099983,-0.013172805,-0.1774491,-0.041255534,-0.02701974,-0.08894777,0.055991888,-0.0019906461,0.035416126,-0.0007722378,-0.051350653,-0.0493865,-0.097835064,-0.01442343,-0.01132834
-0.16207123,0.06984949,0.2607061,0.066082954,0.15833807,-0.05392617,0.056544542,0.10011262,-0.07470012,0.35721302,0.054347634,0.084032565,-0.076692656,-0.07418972,-0.06627464,0.09059025,0.017368972,-0.040792227,0.06359047,0.09231977,-0.086996496,-0.11513686,0.049929142,-0.0007619858,-0.0670296,-0.064365506,0.011090517,0.11659825,-0.06912744,-0.037433267,0.12863755,0.048044115
0.51034546,-0.3539319,-0.08369181,-0.17793274,0.11449742,0.1861465,0.13753891,0.093773246,-0.08377743,0.17100787,0.06950045,0.06563634,-0.18461372,0.1250318,0.056834817,0.061841786,0.001390338,0.0130877495,0.01699555,0.09816472,-0.0800972,-0.14446676,-0.06829071,-0.0030486584,0.0035516322,-0.051724315,-0.1171484,0.12223601,-0.030439377,0.06676769,-0.010381818,-0.037460223
0.27450085,-0.39871907,-0.08851261,0.25130343,-0.10321736,-0.063685596,-0.1871233,-0.074355274,0.05803585,0.035930395,-0.07553923,0.07403919,-0.14982148,0.00079873204,-0.016358018,0.03354764,0.038984478,-0.13369441,-0.025802493,0.10463582,0.056412935,0.04885626,0.00012636185,0.001681447,0.07225481,0.07576132,-0.078490496,-0.020112693,0.007855535,0.012365937,0.037398517,0.07079783
0.40106964,-0.04644394,0.297655,0.49676037,-0.011400223,-0.11782807,0.083376646,0.13465816,0.06156075,-0.011465311,0.0800612,0.023621768,0.040538564,-0.037285715,-0.04993093,0.054572433,-0.0643608,0.015021563,0.15556765,-0.09908229,0.041979313,0.010162711,-0.013942003,-0.0023709536,0.0228027,-0.047567487,-0.045366645,-0.05294329,-0.041532636,-0.026513815,0.027830064,-0.07012305
-0.03462982,-0.15560484,-0.27979025,0.4378538,-0.16023421,-0.14176172,0.09902263,-0.083794266,-0.15073848,-0.0710876,-0.031390548,-0.009408653,-0.05211772,-0.09538302,0.08727658,0.014676362,0.0057700276,-0.07403183,0.07731944,0.04405944,0.0058352947,0.062716246,0.0023128986,-0.036165595,-0.093060605,0.08619332,-0.1314236,-0.030773044,0.09735942,0.04319799,-0.046966612,0.050976336
-0.46223068,0.30590677,-0.17671876,-0.16737652,0.17957854,0.011683524,0.045079947,0.02755943,-0.008220911,0.0015876293,0.029523253,0.1745398,-0.018363878,-0.13875496,-0.13145077,0.11675507,-0.12150341,-0.09527528,0.016139567,-0.0058723837,-0.06594145,0.060487032,0.026076078,0.044982553,-0.055035897,0.03730321,-0.0024710894,-0.09586531,0.02543044,0.015201449,-0.0009255409,-0.007998437
0.60192585,-0.053189278,0.14871432,0.42253518,0.18413305,-0.26985687,0.13613725,-0.05600196,0.015425563,0.022328138,-0.13336158,-0.0619172,-0.06899269,0.031564474,-0.109775186,0.029050767,-0.1997152,-0.07105911,-0.053368688,0.05801885,-0.014194667,0.024611235,-0.051990747,0.0036753416,0.007832669,0.040677547,0.030346394,0.011571109,-0.030844212,0.036835313,0.018909693,-0.04060416
